DIRECTORIO;NRO_ENCUESTA;HOGAR_NUMERO;PERSONA_NUMERO;P6020;P5785;P5465;P5501;P6070;P6160;P6170;P260;P261;FEX_P
3075387;235;1;1;2;53;6;1;4;1;2;4;4;1350,88662111287
3075388;235;1;1;1;49;5;1;3;1;2;6;2;1873,19761751148
3075388;235;1;2;2;46;6;2;3;1;2;5;2;1873,19761751148
3075388;235;1;3;2;20;5;3;6;1;1;6;3;1873,19761751148
3075388;235;1;4;1;18;5;3;6;1;2;5;2;1873,19761751148
3075389;235;1;1;2;73;6;1;5;1;2;3;3;1168,22500898496
3075389;235;1;2;1;52;6;3;6;1;2;3;5;1168,22500898496
3075390;235;1;1;1;49;6;1;3;1;2;3;4;1249,5283888685
3075390;235;1;2;2;46;6;2;3;1;2;3;4;1249,5283888685
3075391;235;1;1;1;67;6;1;3;1;2;3;6;1400,79142248093
3075391;235;1;2;2;65;6;2;3;1;2;6;4;1400,79142248093
3075391;235;1;3;2;25;6;3;2;1;1;6;4;1400,79142248093
3075391;235;1;4;1;28;6;5;2;1;2;6;3;1400,79142248093
3075391;235;1;5;2;1; ; ; ; ; ; ; ;1400,79142248093
3075391;235;1;6;1;67;6;5;6;1;2;3;6;1400,79142248093
3075392;235;1;1;1;45;6;1;6;1;2;5;2;1802,86119852015
3075393;235;1;1;2;70;6;1;5;1;2;3;2;1194,32951508654
3075394;235;1;1;1;38;6;1;2;1;2;3;6;1211,79481617122
3075394;235;1;2;2;38;6;2;2;1;2;4;5;1211,79481617122
3075394;235;1;3;1;22;6;3;6;1;2;6;3;1211,79481617122
3075394;235;1;4;2;12;6;3;6;1;1;4;3;1211,79481617122
3075394;235;1;5;2;74;6;5;5;2;2;1; ;1211,79481617122
3075395;235;1;1;1;54;6;1;2;1;2;3;6;118,898402604352
3075395;235;1;2;2;49;6;2;2;1;2;3;6;118,898402604352
3075395;235;1;3;2;15;6;3;6;1;1;4;4;118,898402604352
3075395;235;1;4;2;28;6;3;4;1;2;6;3;118,898402604352
3075395;235;1;5;2;3; ; ; ; ; ; ; ;118,898402604352
3075396;235;1;1;1;69;6;1;2;1;2;3;6;153,254512985274
3075396;235;1;2;2;74;6;2;2;2;2;1; ;153,254512985274
3075396;235;1;3;1;39;6;3;6;1;2;3;4;153,254512985274
3075397;235;1;1;2;35;6;1;4;1;2;4;5;363,355711194339
3075397;235;1;2;2;13;6;3;6;1;1;4;2;363,355711194339
3075397;235;1;3;2;10; ; ; ; ; ; ; ;363,355711194339
3075397;235;1;4;2;8; ; ; ; ; ; ; ;363,355711194339
3075397;235;1;5;1;6; ; ; ; ; ; ; ;363,355711194339
3075398;235;1;1;2;34;5;1;2;1;1;6;2;296,321284731348
3075398;235;1;2;1;30;5;2;2;1;2;4;4;296,321284731348
3075398;235;1;3;2;11; ; ; ; ; ; ; ;296,321284731348
3075398;235;1;4;2;5; ; ; ; ; ; ; ;296,321284731348
3075399;235;1;1;1;52;6;1;2;1;2;5;2;121,206870895425
3075399;235;1;2;2;45;6;2;2;1;1;4;5;121,206870895425
3075399;235;1;3;1;26;6;3;6;1;2;5;2;121,206870895425
3075399;235;1;4;1;15;6;3;6;1;1;4;4;121,206870895425
3075400;235;1;1;2;61;6;1;3;2;2;1; ;184,759259565428
3075400;235;1;2;1;66;6;2;3;2;2;1; ;184,759259565428
3075401;235;1;1;1;39;6;1;3;1;2;5;2;102,416826039885
3075401;235;1;2;2;41;6;2;3;1;2;5;2;102,416826039885
3075403;235;1;1;2;34;6;1;2;1;2;6;3;161,554969951211
3075403;235;1;2;1;34;6;2;2;1;2;6;6;161,554969951211
3075403;235;1;3;2;18;6;3;6;1;1;6;2;161,554969951211
3075403;235;1;4;1;14;6;3;6;1;1;4;4;161,554969951211
3075405;235;1;1;1;76;6;1;2;1;2;1; ;102,416826039885
3075405;235;1;2;2;46;6;2;2;1;2;3;6;102,416826039885
3075406;235;1;1;1;83;6;1;4;1;2;6;5;1781,48075787589
3075406;235;1;2;1;46;6;5;2;1;2;6;2;1781,48075787589
3075406;235;1;3;2;49;6;5;2;1;2;5;2;1781,48075787589
3075406;235;1;4;2;21;6;5;6;1;1;6;4;1781,48075787589
3075406;235;1;5;1;13;6;3;6;1;1;4;3;1781,48075787589
3075407;235;1;1;1;57;5;1;4;1;2;3;6;1003,13489399835
3075407;235;1;2;1;60;5;5;6;1;2;3;5;1003,13489399835
3075407;235;1;3;1;56;5;5;4;1;2;3;6;1003,13489399835
3075407;235;1;4;2;52;5;5;6;1;2;6;6;1003,13489399835
3075407;235;1;5;2;28;5;5;6;1;2;6;6;1003,13489399835
3075407;235;1;6;1;39;5;5;6;1;2;6;6;1003,13489399835
3075408;235;1;1;1;80;6;1;5;1;2;3;4;1595,12933418415
3075409;235;1;1;1;48;6;1;2;1;2;5;2;1819,92582977993
3075409;235;1;2;2;51;6;2;2;1;2;5;2;1819,92582977993
3075409;235;1;3;2;15;6;3;6;1;1;5;1;1819,92582977993
3075409;235;1;4;1;13;6;3;6;1;1;4;3;1819,92582977993
3075410;235;1;1;2;47;6;1;4;1;2;3;6;2123,37448682699
3075410;235;1;2;2;28;6;3;6;1;2;4;3;2123,37448682699
3075410;235;1;3;1;10; ; ; ; ; ; ; ;2123,37448682699
3075410;235;1;4;2;5; ; ; ; ; ; ; ;2123,37448682699
3075410;235;1;5;1;2; ; ; ; ; ; ; ;2123,37448682699
3075410;235;1;6;1;21;6;3;6;1;2;5;2;2123,37448682699
3075410;235;1;7;1;17;6;3;6;1;2;4;2;2123,37448682699
3075411;235;1;1;1;38;6;1;2;1;2;5;2;1811,99019890659
3075411;235;1;2;2;26;5;2;2;1;2;6;6;1811,99019890659
3075411;235;1;3;1;7; ; ; ; ; ; ; ;1811,99019890659
3075411;235;1;4;1;4; ; ; ; ; ; ; ;1811,99019890659
3075411;235;1;5;1;27;6;5;6;1;2;6;3;1811,99019890659
3075412;235;1;1;2;69;5;1;5;1;2;3;3;1219,7066679984
3075413;235;1;1;1;30;6;1;3;1;1;6;3;1546,37203614784
3075413;235;1;2;2;26;6;2;3;1;1;6;2;1546,37203614784
3075413;235;1;3;2;3; ; ; ; ; ; ; ;1546,37203614784
3075415;235;1;1;1;77;6;1;3;1;2;3;6;860,156003698962
3075415;235;1;2;2;73;6;2;3;1;2;3;5;860,156003698962
3075415;235;1;3;2;46;5;3;5;1;2;6;6;860,156003698962
3075416;235;1;1;1;59;6;1;2;1;2;3;4;1561,61172376842
3075416;235;1;2;2;57;6;2;2;1;2;3;4;1561,61172376842
3075416;235;1;3;2;20;6;3;6;1;2;5;2;1561,61172376842
3075416;235;1;4;1;17;6;3;6;1;2;5;2;1561,61172376842
3075417;235;1;1;1;58;5;1;2;1;2;5;2;1322,01661051161
3075417;235;1;2;2;48;6;2;2;1;2;5;2;1322,01661051161
3075417;235;1;3;2;18;6;3;6;1;1;6;3;1322,01661051161
3075417;235;1;4;1;59;6;5;6;1;2;3;5;1322,01661051161
3075418;235;1;1;2;69;6;1;4;1;2;6;6;1219,7066679984
3075419;235;1;1;1;42;6;1;2;1;2;4;2;2208,51297080669
3075419;235;1;2;2;38;6;2;2;1;2;4;3;2208,51297080669
3075419;235;1;3;1;15;6;3;6;1;1;4;5;2208,51297080669
3075419;235;1;4;1;14;6;3;6;1;1;4;2;2208,51297080669
3075419;235;1;5;2;12;6;3;6;1;1;4;3;2208,51297080669
3075419;235;1;6;1;10; ; ; ; ; ; ; ;2208,51297080669
3075420;235;1;1;2;62;6;1;4;1;2;3;2;1219,7066679984
3075421;235;1;1;1;35;6;1;2;1;2;6;3;1620,68859671239
3075421;235;1;2;2;32;6;2;2;1;2;5;2;1620,68859671239
