DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5476S2	P5476S3	P5476S4	P5476S5	P5477	P5477S1	P5478	P5478S1	P1701S1	P1701S2	P1701S3	P1701S4	P1701S5	P1701S6	P1701S7	P1702	P1703	P1704	P1705	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
3064383	235	1	2	6	3	2	1	2	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	1	2	2		2		1	1	2		2		2		4279.78982175032
3064392	235	1	6	5	3	1	1	3	1	1	1	2		2		2		2	2	2	1	2	2	2	2	1	2						1	2	2									1	3	1	1	2		1	1	1	1	2		2		1	3	4065.51727919728
3064396	235	1	3	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2		2									1	3	1	3	2		1	3	1	1	2		2		2		6196.45966821128
3064400	235	1	4	5	4	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	4	3	3	3	0	2		1	4								2		1	4	2		1	1	1	1	2		1	2	2		712.055016972365
3064403	235	1	4	5	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	1	1	2	2	2	2	1	3	2		2		2		1	2	2		2		2		701.976400988597
3064403	235	1	5	5	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	0	2	0	2		2									1	3	1	2	2		2		1	2	2		2		2		701.976400988597
3064406	235	1	2	5	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	0	2	0	2		2									1	3	2		2		1	1	1	1	1	1	1	1	1	2	753.607028654183
3064407	235	1	3	5	4	1	1	3	3	2		2		2		2		2	2	2	2	2	2	1	2	2	2						2		2		2	2	2	2	2	1	2	2		2		2		1	4	1	2	2		2		2		592.523719630453
3064407	235	1	4	5	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	1	2	2	2						2		2		1	2	1	2	2	2	2	1	1			2		2		1	2	2		2		2		592.523719630453
3064409	235	1	2	5	3	1	1	3	2	2		2		1	3	2		2	2	2	2	2	2	2	1	2	1	3	1	1	1	0	2		2									1	2	1	2	2		1	2	1	2	1	1	1	2	1	2	597.185951637867
3064411	235	1	3	5	5	2	1	2	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	2	1	2		2		2		2		1	1	2		2		2		767.480868677095
3064412	235	1	4	5	3	1	1	3	3	1	1	2		2		2		2	2	2	2	2	2	1	2	2	1	2	8	8	8	0	1	6	2									1	3	1	1	2		2		2		2		1	1	1	3	808.710261813482
3064412	235	1	5	5	3	1	1	2	3	2		2		2		2		2	2	2	2	1	2	2	2	2	2						2		2		2	2	2	2	2	1	2	1	3	2		2		2		2		2		2		2		808.710261813482
3064414	235	1	3	5	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	0	2	0	2		2									1	3	1	2	2		1	1	1	1	2		1	2	1	1	955.23171203667
3064414	235	1	5	5	5	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	2	2	2	2	1	3	2		2		1	2	1	1	1	2	2		2		955.23171203667
3064421	235	1	5	5	4	1	1	2	3	2		2		2		1	5	2	2	2	2	2	2	2	2	2	2						1	2	2									1	3	1	1	1	5	2		1	1	2		2		2		606.449029544848
3064426	235	1	5	6	3	1	1	3	4	2		2		2		2		2	2	2	1	2	2	2	1	2	1	2	10	3	10	0	2		2									1	3	1	2	2		2		1	1	1	3	2		2		1528.88071062703
3064428	235	1	4	5	4	2	1	2	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	4	2	4	0	2		2									1	3	2		2		2		1	1	2		2		2		1099.53294874865
3064428	235	1	8	1	4	1	1	3	2	2		2		2		1	2	2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		2									1	3	2		2		2		1	1	2		2		2		1099.53294874865
3064429	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	1	1	1	1	0	1	0	2		2									1	2	2		2		2		1	2	2		2		2		1172.73898709448
3064430	235	1	3	1	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	1	1	1	2	3	0	3	0	1	4	1	3								2		1	2	1	3	1	1	1	1	2		2		2		1576.76950066908
3064430	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	1	1	1	1	2	1	2	0	1	1	1	2								1	3	1	2	1	3	1	2	1	1	2		2		2		1576.76950066908
3064432	235	1	2	5	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	3	3	3	0	1	2	2									1	3	1	2	2		1	2	1	1	2		2		2		1637.03168555925
3064432	235	1	3	5	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	1	2	2									1	3	1	1	2		1	2	1	1	2		2		2		1637.03168555925
3064434	235	1	4	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	1	1	1	8	0	8	0	2		2									1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	2	1528.88071062703
3064438	235	1	4	5	4	1	1	3	0	1	3	2		1	5	2		2	2	2	1	2	2	2	1	2	1	2	2	2	2	0	2		2									1	3	1	2	1	3	1	2	1	1	2		2		2		1035.98134958295
3064440	235	1	5	5	4	1	1	3	4	1	5	2		2		2		2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2		2									1	3	1	1	1	5	1	2	1	1	1	2	1	2	2		871.755138747531
3064441	235	1	5	6	3	1	1	3	5	1	3	2		2		1	5	2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		2									1	3	1	2	1	2	1	2	1	1	2		2		2		1661.1945845316
3064443	235	1	2	5	3	1	1	3	2	2		2		1	3	1	3	2	1	2	1	1	2	2	2	1	1	1	3	3	3	0	1	3	1	3								1	3	1	1	2		1	1	1	1	2		1	1	2		1151.32293465711
3064445	235	1	2	5	3	1	1	4	2	2		2		2		2		2	2	2	2	1	2	2	1	1	2						2		1	2								2		1	3	1	3	1	2	1	1	1	2	1	1	1	1	1395.41248739103
3064445	235	1	3	5	3	1	1	3	5	2		2		2		2		2	2	2	1	1	2	2	1	1	2						1	2	1	2								1	3	1	2	1	3	1	3	1	1	1	2	1	1	2		1395.41248739103
3064446	235	1	3	1	3	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	1	2	2	2	2	2	1	3	2		1	3	2		1	1	2		2		2		1324.80334164674
3064448	235	1	3	6	3	1	1	3	4	2		2		2		2		2	2	1	2	2	2	2	2	2	1	1	3	3	3	0	2		1	2								1	3	2		1	4	1	1	1	1	1	2	1	1	1	1	2026.6531705271
3064452	235	2	3	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2		2									1	3	2		2		1	2	1	1	1	2	2		2		2185.02870159039
3064452	235	3	3	6	3	1	1	3	4	2		2		2		2		2	2	1	2	2	2	2	2	2	1	2	1	1	1	0	2		2									2		2		2		2		1	1	2		2		2		2185.02870159039
3064452	235	3	4	6	3	1	1	3	2	2		2		2		2		2	2	1	2	2	2	2	2	2	1	2	1	1	1	0	2		2									2		2		2		2		1	1	2		2		2		2185.02870159039
3064452	235	3	5	6	3	2	1	3	0	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		2		1	1	2		2		2		2185.02870159039
3064453	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	1	2	2	2	2	2	2	1	1	5	5	5	0	1	2	2									1	3	2		1	3	2		1	1	2		2		2		2093.71832054447
3064453	235	1	5	6	3	1	1	2	2	2		2		2		2		2	2	1	2	2	2	2	2	2	1	1	8	6	8	0	2		2									1	3	1	1	1	3	2		1	1	2		2		2		2093.71832054447
3064454	235	1	3	6	3	1	1	3	2	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		2	2	2	2	2	1	2	1	3	1	2	2		2		1	1	2		2		2		1849.92427632914
3064454	235	1	4	6	3	2	1	3	2	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		2	1	2	2	2	2	2	1	3	2		2		2		2		2		2		2		1849.92427632914
3064456	235	1	3	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	1	2	1	1	5	5	5	0	2		2									2		2		1	3	1	2	1	1	1	2	2		2		1702.01606914352
3064457	235	1	4	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	1	2	1	3	1	1	1	0	2		1	3								2		1	2	2		2		1	1	1	2	2		2		2206.33928237998
3064460	235	1	3	6	3	1	1	4	0	1	4	1	4	1	4	1	4	2	2	1	2	2	2	2	2	2	1	2	2	2	2	0	1	3	1	2								1	3	1	1	2		1	2	1	1	1	2	1	1	1	1	2133.11733237743
3064460	235	1	4	6	3	1	1	3	3	1	4	1	4	1	4	2		2	2	1	2	2	2	2	2	2	1	1	2	2	2	0	2		2									1	3	1	1	2		1	2	1	2	1	2	1	1	1	1	2133.11733237743
3064472	235	1	4	6	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	5	2	0	2	0	2		2									2		1	3	1	4	1	2	1	3	1	1	2		2		1221.12049353599
3064473	235	1	4	1	4	1	1	3	5	1	5	2		2		1	5	2	2	2	1	1	1	2	1	1	1	4	3	3	3	0	2		1	4								2		2		1	2	1	1	1	1	1	1	1	3	1	2	1522.75281851805
3064479	235	1	4	6	9	2	2	4	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	1	2	0	2		2									1	4	1	2	1	4	2		1	2	2		2		2		1888.47182289388
3064479	235	1	5	6	4	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	1	2	1	2	3	2	3	0	2		2									1	3	2		1	5	2		1	2	2		2		2		1888.47182289388
3064481	235	1	3	5	3	1	1	3	1	2		2		2		2		2	2	2	1	1	1	2	2	1	1	3	2	2	2	0	1	3	1	4								1	1	1	2	1	5	1	1	1	1	1	2	2		1	2	1891.43644662847
3064482	235	1	7	5	4	1	1	3	1	1	5	2		2		2		2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	2		2									1	1	1	1	2		2		1	1	2		1	3	1	3	1203.19883769122
3064482	235	1	4	5	4	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	1	1	1	2	2	2	0	2		2									1	3	1	1	2		2		1	1	2		2		2		1203.19883769122
3064483	235	1	5	6	4	2	1	3	0	1	5	2		2		1	5	2	2	2	1	2	2	2	2	2	2						2		1	2								1	1	2		1	4	1	2	1	1	2		2		1	3	2007.13508256629
3064484	235	1	4	5	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	2	2	2	2	2		1	2	1	2	2		1	1	2		2		2		1864.0776060815
3064485	235	1	3	6	3	1	1	3	0	2		2		2		2		2	2	2	2	1	2	2	2	2	1	1	2	2	2	0	2		2									1	3	1	1	1	5	2		1	1	2		2		2		1661.54253868966
3064486	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	3	1	3	0	2		2									1	3	1	2	1	5	2		1	1	2		2		1	2	1799.69407244402
3064487	235	1	4	6	4	1	1	3	1	1	5	2		2		1	5	2	2	2	2	2	2	2	2	2	1	5	2	0	2	0	1	2	1	2								1	3	1	2	1	5	1	2	1	1	1	1	1	1	1	2	1685.3118302025
3064489	235	1	4	6	4	1	1	3	1	1	4	2		2		2		2	2	2	2	2	2	2	2	2	1	5	2	1	2	0	2		2									2		2		1	3	1	3	1	3	2		2		1	2	2351.21636247297
3064489	235	1	5	5	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	6	1	0	1	0	2		2									2		2		1	3	1	3	1	1	2		2		2		2351.21636247297
3064492	235	1	3	5	3	1	1	3	2	2		2		2		2		2	2	2	2	1	2	2	2	1	1	1	5	5	5	0	1	6	2									1	3	1	1	1	2	1	3	1	1	1	2	2		1	3	2074.64160214606
3064492	235	1	4	5	3	2	1	2	2	2		2		2		2		2	2	2	2	1	1	2	2	1	1	3	1	0	1	0	2		2									1	2	1	1	1	2	1	3	1	1	2		2		2		2074.64160214606
3064496	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	1	2	0	2		2									1	4	1	3	2		2		1	1	1	3	2		2		1899.53921950054
3064497	235	1	4	6	3	1	1	4	1	1	5	1	5	2		2		2	2	1	1	1	2	2	1	2	1	1	11	11	11	0	2		2									2		1	1	1	3	1	1	1	1	1	2	1	3	1	2	1799.69407244402
3064499	235	1	3	6	3	1	1	4	0	1	4	1	4	2		2		2	2	2	2	2	2	2	2	2	1	2	4	2	4	0	2		2									1	2	2		1	5	1	2	1	1	1	3	2		1	2	1661.54253868966
3064502	235	1	5	5	4	1	1	3	0	1	2	2		1	1	1	5	2	2	2	1	1	2	2	2	1	1	1	2	0	2	0	2		2									1	3	1	1	1	2	2		1	1	2		2		2		812.556954780411
3064503	235	1	3	5	4	1	1	3	1	1	4	2		2		1	5	2	1	2	1	1	2	2	1	2	1	1	14	14	14	0	2		2									1	3	1	1	1	3	1	1	1	1	1	2	1	2	2		1620.81500878644
3064503	235	1	4	5	4	1	1	3	2	1	4	2		1	4	1	5	2	1	2	1	1	2	2	1	2	1	1	14	14	14	0	2		2									1	1	1	1	1	3	1	1	1	1	1	2	1	2	2		1620.81500878644
3064506	235	1	4	6	4	1	1	4	1	2		1	5	1	5	1	5	2	2	1	1	1	1	2	1	2	1	1	8	8	8	0	2		1	4								2		1	1	1	3	1	1	1	1	1	2	1	3	1	3	1460.37298496152
3064507	235	1	4	5	3	1	1	4	1	2		1	4	1	5	1	5	2	2	1	1	2	1	2	2	2	1	2	6	6	6	0	2		2									2		1	1	1	3	1	1	1	1	1	1	1	3	1	3	1629.57533122313
3064514	235	1	3	5	3	1	1	3	3	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	2	4	2	4	0	2		2									2		1	3	1	2	1	2	1	1	1	2	2		1	2	1661.54253868966
3064519	235	1	2	6	3	1	1	2	0	2		2		2		2		2	2	2	1	1	2	2	1	1	1	2	6	6	6	0	1	2	1	2								1	3	1	1	2		1	2	1	1	1	2	2		1	1	1765.83352295368
3064519	235	1	3	6	3	1	1	3	1	2		2		1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	4	4	4	0	2		1	2								1	4	1	1	2		1	2	1	1	1	2	2		1	1	1765.83352295368
3064520	235	1	3	6	3	2	1	2	3	1	2	2		2		2		2	2	2	2	2	2	2	1	2	1	1	4	4	4	0	2		2									1	3	1	1	2		1	1	1	1	2		2		2		1401.94889832326
3064522	235	1	3	6	5	1	1	3	4	1	5	2		2		2		2	2	2	2	2	2	2	2	2	1	2	3	2	3	0	2		1	2								2		1	2	1	5	1	3	1	1	2		1	3	2		1227.76073262897
3064528	235	1	5	6	4	2	1	2	2	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	3	4	0	4	0	2		2									1	1	2		1	5	1	2	1	1	2		2		1	1	2102.16915214763
3064530	235	1	3	6	3	1	1	3	3	2		2		2		2		2	2	2	2	1	2	2	2	2	1	1	2	0	2	0	1	2	1	2								1	2	1	2	2		1	2	1	2	1	2	2		1	2	1401.94889832326
3064532	235	1	3	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	4	4	4	0	2		2									1	3	1	1	2		2		1	1	2		2		2		1614.41878496893
3064539	235	1	3	5	3	1	1	2	2	1	2	2		2		2		2	1	2	1	1	2	2	2	2	1	2	2	1	1	1	2		1	3								1	4	1	1	2		1	2	1	1	2		2		1	2	1401.94889832326
3064542	235	1	4	6	3	2	1	3	0	2		2		2		2		2	1	2	2	2	2	2	2	2	1	3	2	2	2	0	2		2									2		2		2		2		1	1	1	4	2		2		1615.60052267443
3064547	235	1	4	6	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	1	2	2									1	3	1	2	2		1	2	1	1	1	3	2		1	2	1596.92051070902
3064549	235	1	5	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	5	5	5	0	2		2									2		1	2	1	3	1	2	1	1	1	2	2		2		2012.53732291569
3064554	235	1	4	6	4	2	1	2	0	2		2		2		2		2	2	1	2	1	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	1			2		1	3	1	1	2		1	2	1	2	995.229563155366
3064557	235	1	3	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	3	3	3	0	2		2									1	3	1	1	1	4	1	2	1	1	1	2	2		2		1092.35825437812
3064558	235	1	5	6	4	1	1	3	0	2		2		2		2		2	2	2	2	1	2	2	2	2	2						2		2		2	1	2	2	1	2	2	2		1	4	1	5	1	2	1	1	2		2		1	1	794.74409013672
3064560	235	1	3	6	3	1	1	4	1	2		2		2		2		2	2	2	2	2	2	2	1	2	2						2		1	2								2		1	2	1	1	2		1	1	2		1	2	2		990.048363013316
3064563	235	1	2	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	2		2									1	3	1	1	1	3	2		1	1	2		2		2		927.371834522645
3064570	235	1	6	6	3	1	1	3	1	2		2		2		1	4	2	2	2	2	2	2	2	2	2	1	1	3	3	3	0	2		1	2								2		1	2	2		1	2	1	1	2		2		2		1613.27957551212
3064570	235	1	7	6	3	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	3			2		2		1	1	2		2		2		1613.27957551212
3064575	235	1	4	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	1	1	1	2	1	2	2		2		2		1	1	2		2		2		1648.93548500193
3064576	235	1	5	6	5	1	1	3	3	2		2		2		2		2	2	2	2	1	2	2	2	2	1	4	2	2	2	0	2		1	1								1	1	2		1	3	1	2	1	1	2		2		2		1389.27662294551
3064577	235	1	3	6	3	1	1	3	1	2		1	2	2		2		2	2	2	2	2	2	2	2	1	2						2		2		1	2	2	2	2	2	2	1	3			2		2		2		2		2		2		1561.12005452682
3064579	235	1	5	6	4	1	1	3	3	2		2		2		2		2	2	1	2	2	2	2	2	2	2						1	2	1	4								1	3	1	4	2		1	1	1	1	1	1	1	1	1	1	705.357374339881
3064588	235	1	3	6	3	1	1	3	5	2		1	4	2		2		2	2	2	2	2	2	2	1	1	2						2		2		1	2	2	2	2	2	2	1	3			1	3	1	1	1	1	1	1	2		2		1654.35177426246
3064588	235	1	4	6	3	1	1	2	3	2		2		2		2		2	2	2	2	2	2	2	1	1	1	4	1	0	1	0	2		2									1	3	1	3	1	3	1	2	1	1	1	2	2		2		1654.35177426246
3064599	235	1	4	6	3	1	1	4	1	1	2	1	2	1	4	1	3	2	2	2	1	1	2	2	1	2	1	4	2	1	2	0	1	3	1	2								1	1	1	2	1	2	1	2	1	2	2		2		1	2	1707.80578601896
3064603	235	1	3	6	3	1	1	4	1	2		2		2		1	3	2	2	2	2	2	2	2	1	2	1	3	1	1	1	0	2		2									1	3	1	2	1	3	2		1	1	2		2		2		1355.66468934288
3064611	235	1	6	6	3	1	1	3	3	1	3	1	3	2		2		2	2	1	2	2	2	2	2	2	2						2		2		2	2	1	2	2	2	2	2		2		1	3	1	1	1	1	1	1	2		1	1	1933.47579578573
3064614	235	1	3	6	4	1	1	3	3	2		1	5	1	4	2		2	1	2	2	1	2	2	1	1	1	5	3	3	3	0	2		2									1	3	2		1	2	1	2	1	1	1	2	1	1	1	1	1174.30699860951
3064616	235	1	5	6	4	1	1	3	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	0	1	1	1	1	1								1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1053.82762540414
3064619	235	1	4	6	3	1	1	2	3	2		2		1	3	2		1	2	1	2	1	2	1	1	2	1	1	2	2	2	0	1	3	2									2		1	2	2		1	3	1	1	2		2		1	2	1249.8933665941
