Directorio	Nro_encuesta	Hogarnmero	P5000	P5010	P5090	P201s1	P201s2	P201s3	P201s4	P201s5	P201s6	P201s7	P201s8	P201s9	P201s10	P201s11	P201s12	P201s13	P201s14	P201s15	P201s16	P201s17	P201s18	P201s19	P201s20	P201s21	P201s22	P201s23	P201s24	P201s25	P201s26	P201s27	P5220	P5220s1	P229s1	P229s2	P229s3	P229s4	P230	P231s1	P231s1a1	P231s2	P231s2a1	Fex_c
303915700	208	1	1	1	3	2	2	1	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	2	2	1	1					3	1	1	0		2330.06251300303
303915800	208	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2							1	0	0		1654.57857038339
303915900	208	1	3	3	4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2					7	11	10	0		1919.41290408997
303916000	208	1	4	2	1	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1						4	0	0		1479.78294819395
303916100	208	1	3	2	3	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	7	7	7	7	7	0		0		1864.6828389252
303916200	208	1	4	3	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	2						0		0		1967.60326896989
303916300	208	1	3	1	3	2	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	1	1	2	1	1	1						10	3	2	0	1791.82829883609
303916400	208	1	3	2	3	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	2	1	1	1	2	2	1	2						0		0		1933.15397526296
303916500	208	1	3	2	3	2	2	1	1	1	2	2	2	2	2	1	1	2	1	2	2	1	2	2	2	2	1	1	1	1	2	1	1	2					2	5	5	0		1791.93654178262
303916800	208	1	3	3	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						1	0	0		2261.38747106596
303916900	208	1	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	2						0		0		2036.53857942121
303917000	208	1	2	1	3	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1						48	48	0		1224.79478916586
303917100	208	1	4	3	1	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	7	7	1		6	6	0		581.335051546392
303917200	208	1	5	3	1	2	2	1	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	5						60	20	0		788.615689956927
303917300	208	1	2	1	3	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	1						2	0	0		818.794898473368
303917400	208	1	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2							0		0		1224.79478916586
303917500	208	1	2	1	3	2	2	1	2	2	2	1	2	2	2	1	1	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	1	2	1	7	7	1		60	0	0		1116.51815579803
303917600	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	3	7	4	1	3	3	1	0		2325.34020618557
303917800	208	1	3	2	1	2	2	1	2	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	3					7	15	5	1	0	1260.03451722459
303917900	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		671.75564109036
303918000	208	1	4	1	3	2	2	1	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3						8	3	0		772.642951178609
303918100	208	1	4	3	1	2	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	1						100	50	0		565.763701707102
303918300	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	7	7	1		5	5	0		622.340071877812
303918400	208	1	3	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1					7	35	18	0		1926.30001234808
303918500	208	1	5	4	3	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3	7	7	7	2	2	10	3	0		2868.92603980357
303918600	208	1	4	3	1	1	2	1	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2						7	7	0		565.763701707102
303918700	208	1	6	4	1	1	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	4						8	3	2	1	565.763701707102
303918800	208	1	3	2	3	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	1	2	2	1	2	7	7	2	1		80	0	0		1301.94668289307
303918900	208	1	5	3	1	1	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1						2	0	1	0	622.340071877812
303919000	208	1	4	2	1	1	2	1	2	1	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	3						20	20	3	0	1373.73837184069
303919100	208	1	5	3	1	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						10	10	0		622.340071877812
303919200	208	1	5	3	1	2	2	1	2	1	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	8	2	2	4	1		0		0		2111.33093214598
303919300	208	1	7	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1						15	5	0		1410.30879687441
303919400	208	1	3	1	3	2	2	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	2							0		0		1736.51415131953
303919500	208	1	3	1	1	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2							1	0	0		1410.30879687441
303919600	208	1	3	2	3	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	1						150	90	0		1805.98830263907
303919700	208	1	2	2	1	1	2	1	2	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	2	2	1	3						12	6	0		1875.4624539586
303919800	208	1	4	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2							0		0		1410.30879687441
303919900	208	1	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	2	1	2						30	20	0		1805.98830263907
303920000	208	1	3	2	1	1	2	1	2	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	3	2	7	7	2		60	40	0		1875.4624539586
303920100	208	1	5	2	1	1	2	1	2	1	2	2	2	2	1	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	1	2	1	1						20	8	0		1153.57759374883
303920200	208	1	5	4	4	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						12	5	0		2014.41075659768
303920300	208	1	4	2	3	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	1	2						3	3	7	7	1805.98830263907
303920400	208	1	4	1	1	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	1						0		0		1410.30879687441
303920500	208	1	3	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	2	2							800	15	0		1410.30879687441
303920600	208	1	3	2	3	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	2	2							40	15	0		1805.98830263907
303920700	208	1	2	1	3	2	2	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	1	2	3	7	7	1		40	40	0		1805.98830263907
303920800	208	1	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2						8	5	1	0	1805.98830263907
303920900	208	1	4	3	3	2	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3					7	30	30	0		1763.83302006973
